,Field_code,hld_id,hld_farm
3197,BB20,56,NO 2 BALLINABY
3198,BB2,235,BALLINABY NO.1
3199,BB19,56,NO 2 BALLINABY
3200,BB18,56,NO 2 BALLINABY
3201,BB17,235,BALLINABY NO.1
3202,BB16,235,BALLINABY NO.1
3203,BB15,56,NO 2 BALLINABY
3204,BB14,56,NO 2 BALLINABY
3205,BB13,136,GRULINMORE
3206,BB12,56,NO 2 BALLINABY
3207,BB11,56,NO 2 BALLINABY
3208,BB10,56,NO 2 BALLINABY
3209,BB1,235,BALLINABY NO.1
3210,BA9,230,SUPERHOLDING
3211,BA8,68,CLADVILLE
3212,BA7,230,SUPERHOLDING
3213,BA6,230,SUPERHOLDING
3214,BA5,230,SUPERHOLDING
3215,BA4,230,SUPERHOLDING
3216,BA3,230,SUPERHOLDING
3217,BA2,230,SUPERHOLDING
3218,BA14,230,SUPERHOLDING
3219,BA13,230,SUPERHOLDING
3220,BA12,230,SUPERHOLDING
3221,BA11,230,SUPERHOLDING
3222,BA10,230,SUPERHOLDING
3223,BA1,230,SUPERHOLDING
3224,AV9,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3225,AV8,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3226,AV7,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3227,AV6,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3228,AV5,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3229,AV4,98,TORRA FARM
3230,AV35,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3231,AV34,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3232,AV33,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3233,AV32,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3234,AV31,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3235,AV30,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3236,AV3,98,TORRA FARM
3237,AV29,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3238,AV28,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3239,AV27,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3240,AV26,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3241,AV25,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3242,AV24,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3243,AV23,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3244,AV22,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3245,AV21,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3246,AV20,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3247,AV2,98,TORRA FARM
3248,AV19,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3249,AV18,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3250,AV16,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3251,AV15,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3252,AV14,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3253,AV12,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3254,AV11,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3255,AV10,59,"AVONVOGIE, CEANNACROIC & KYNGARRY"
3256,AV1,98,TORRA FARM
3257,AT9,91,ARDTALLA
3258,AT8,91,ARDTALLA
3259,AT6,91,ARDTALLA
3260,AT5,91,ARDTALLA
3261,AT4,91,ARDTALLA
3262,AT3,91,ARDTALLA
3263,AT2,91,ARDTALLA
3264,AT13,91,ARDTALLA
3265,AT12,91,ARDTALLA
3266,AT11,91,ARDTALLA
3267,AT10,91,ARDTALLA
3268,AT1,91,ARDTALLA
3269,AO9,168,SI.AORADH
3270,AO89,168,SI.AORADH
3271,AO88,168,SI.AORADH
3272,AO86,168,SI.AORADH
3273,AO85,168,SI.AORADH
3274,AO84,168,SI.AORADH
3275,AO82,168,SI.AORADH
3276,AO81,168,SI.AORADH
3277,AO8,168,SI.AORADH
3278,AO7,168,SI.AORADH
3279,AO69,168,SI.AORADH
3280,AO68,168,SI.AORADH
3281,AO67,168,SI.AORADH
3282,AO65,168,SI.AORADH
3283,AO64,168,SI.AORADH
3284,AO63,168,SI.AORADH
3285,AO62,168,SI.AORADH
3286,AO61,168,SI.AORADH
3287,AO60,168,SI.AORADH
3288,AO6,168,SI.AORADH
3289,AO56,168,SI.AORADH
3290,AO55,168,SI.AORADH
3291,AO54,168,SI.AORADH
3292,AO53,168,SI.AORADH
3293,AO52,168,SI.AORADH
3294,AO51,168,SI.AORADH
3295,AO50,168,SI.AORADH
3296,AO5,168,SI.AORADH
3297,AO49,168,SI.AORADH
3298,AO48,168,SI.AORADH
3299,AO47,168,SI.AORADH
3300,AO45,168,SI.AORADH
3301,AO44,168,SI.AORADH
3302,AO43,168,SI.AORADH
3303,AO42,168,SI.AORADH
3304,AO41,168,SI.AORADH
3305,AO4,168,SI.AORADH
3306,AO39,168,SI.AORADH
3307,AO38,168,SI.AORADH
3308,AO37,168,SI.AORADH
3309,AO36,168,SI.AORADH
3310,AO35,168,SI.AORADH
3311,AO34,168,SI.AORADH
3312,AO33,168,SI.AORADH
3313,AO32,168,SI.AORADH
3314,AO31,165,MA.AORADH
3315,AO30,168,SI.AORADH
3316,AO3,168,SI.AORADH
3317,AO29,168,SI.AORADH
3318,AO28,168,SI.AORADH
3319,AO27,168,SI.AORADH
3320,AO26,168,SI.AORADH
3321,AO25,168,SI.AORADH
3322,AO24,168,SI.AORADH
3323,AO23,168,SI.AORADH
3324,AO22,168,SI.AORADH
3325,AO21,168,SI.AORADH
3326,AO20,168,SI.AORADH
3327,AO2,168,SI.AORADH
3328,AO19,168,SI.AORADH
3329,AO18,168,SI.AORADH
3330,AO16,168,SI.AORADH
3331,AO15,168,SI.AORADH
3332,AO14,168,SI.AORADH
3333,AO13,168,SI.AORADH
3334,AO12,168,SI.AORADH
3335,AO11,168,SI.AORADH
3336,AO10,168,SI.AORADH
3337,AO1,168,SI.AORADH
3338,AN9,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3339,AN8,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3340,AN7,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3341,AN6,185,"ARDNAVE, KILNAVE & GARREALLABUS"
