"","X.1","Device_ID","Winter","PP_Shoot","Habitat","case_","ceh_broad","Case","weight","Used","weight2","gbg_dist_points"
"108",108,"194245",2019,"post","10",TRUE,"other_grassland",1,1,"Used",10,713.41291546896
"109",109,"194245",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,644.023646525032
"110",110,"194245",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,661.825196031758
"111",111,"194245",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,448.563761313509
"112",112,"194245",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,625.499429396611
"113",113,"194245",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,808.581596111961
"114",114,"194245",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,789.798185344116
"115",115,"194245",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,913.681260458808
"116",116,"194245",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,944.091607423315
"117",117,"194245",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,922.101896881897
"118",118,"194245",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,287.797640167578
"119",119,"194245",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,372.033291363395
"120",120,"194246",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,202.128772988419
"121",121,"194246",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,249.224107072106
"122",122,"194246",2019,"post","18",TRUE,"saltmarsh_coastal",1,1,"Used",10,619.721786160779
"123",123,"194246",2019,"post","18",TRUE,"saltmarsh_coastal",1,1,"Used",10,569.219156702263
"124",124,"194246",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,187.255205144111
"125",125,"194246",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,150.421305575573
"126",126,"194246",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,344.736240902845
"127",127,"194246",2019,"post","11",TRUE,"bog",1,1,"Used",10,395.81765340969
"128",128,"194246",2019,"post","11",TRUE,"bog",1,1,"Used",10,395.098764387376
"129",129,"194246",2019,"post","11",TRUE,"bog",1,1,"Used",10,398.69993113485
"130",130,"194246",2019,"post","11",TRUE,"bog",1,1,"Used",10,395.186535746388
"131",131,"194246",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,196.57856912405
"132",132,"194246",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,186.021380052739
"133",133,"194246",2019,"post","18",TRUE,"saltmarsh_coastal",1,1,"Used",10,609.491307594641
"134",134,"194246",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,134.713864153593
"135",135,"194246",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,136.481800392148
"136",136,"194247",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,486.360201421238
"137",137,"194247",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,292.127614918295
"138",138,"194248",2019,"post","10",TRUE,"other_grassland",1,1,"Used",10,155.214966598023
"139",139,"194248",2019,"post","10",TRUE,"other_grassland",1,1,"Used",10,163.045801802055
"140",140,"194248",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,112.929974613371
"141",141,"194248",2019,"post","10",TRUE,"other_grassland",1,1,"Used",10,106.528317788438
"142",142,"194248",2019,"post","10",TRUE,"other_grassland",1,1,"Used",10,165.126007915062
"143",143,"194248",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,150.553925598101
"144",144,"194248",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,322.02560295087
"145",145,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,337.955634068346
"146",146,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,399.585539495752
"147",147,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,1474.64659278753
"148",148,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,533.996866537513
"149",149,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,697.268441920667
"150",150,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,693.300594050601
