"","totaldist","Device_ID","UTC_Date","Species","Winter","year_day","mode_hld_farm","shoot_date","totaldist_log","events_total","shoot_freq","indiv_dist","Disturbance2","shoot_date_sc","events_total_sc","shoot_freq_sc","indiv_dist_sc","Sex","Tag_Winter","Disturbance_shoot","group_id"
"76",5.815715749,"BARN13","20/02/2020","GBG","2019",51,"Farm_ 3","111",1.760563865,428,2.377777778,0,"No_Shoot",0.047939205,-0.235862727,-0.235862727,-0.612766304,"M","BARN13_2019","No_Shoot",89
"77",2.174510246,"BARN13","21/02/2020","GBG","2019",52,"Farm_ 3","112",0.776803465,428,2.377777778,0,"No_Shoot",0.06983787,-0.235862727,-0.235862727,-0.612766304,"M","BARN13_2019","No_Shoot",89
"78",3.735252251,"BARN14","06/03/2020","GBG","2019",66,"Farm_ 3","126",1.317815353,428,2.377777778,0,"No_Shoot",0.376419179,-0.235862727,-0.235862727,-0.612766304,"F","BARN14_2019","No_Shoot",90
"79",5.481909948,"BARN14","08/03/2020","GBG","2019",68,"Farm_ 3","128",1.701453571,428,2.377777778,0,"No_Shoot",0.420216509,-0.235862727,-0.235862727,-0.612766304,"F","BARN14_2019","No_Shoot",90
"80",1.894097468,"BARN14","09/03/2020","GBG","2019",69,"Farm_ 3","129",0.638742455,428,2.377777778,0,"No_Shoot",0.442115174,-0.235862727,-0.235862727,-0.612766304,"F","BARN14_2019","No_Shoot",90
"81",1.246671449,"BARN14","10/03/2020","GBG","2019",70,"Farm_ 3","130",0.220477159,428,2.377777778,0,"No_Shoot",0.464013839,-0.235862727,-0.235862727,-0.612766304,"F","BARN14_2019","No_Shoot",90
"82",5.588778675,"BARN14","18/03/2020","GBG","2019",78,"Farm_ 3","138",1.720760779,428,2.377777778,0,"No_Shoot",0.639203159,-0.235862727,-0.235862727,-0.612766304,"F","BARN14_2019","No_Shoot",90
"83",3.986540614,"BARN14","19/03/2020","GBG","2019",79,"Farm_ 3","139",1.382923841,428,2.377777778,0,"No_Shoot",0.661101824,-0.235862727,-0.235862727,-0.612766304,"F","BARN14_2019","No_Shoot",90
"84",9.339396996,"BARN14","31/03/2020","GBG","2019",91,"Farm_ 3","151",2.234241689,428,2.377777778,0,"No_Shoot",0.923885804,-0.235862727,-0.235862727,-0.612766304,"F","BARN14_2019","No_Shoot",90
"85",3.915611168,"BARN07","08/11/2020","GBG","2019",313,"Farm_ 3","8",1.364971426,428,2.377777778,1,"No_Shoot",-2.207623288,-0.235862727,-0.235862727,-0.367298732,"M","BARN07_2019","No_Shoot",80
"86",8.899701055,"194239","20/02/2020","GBG","2019",51,"Farm_ 3","111",2.186017687,428,2.377777778,0,"No_Shoot",0.047939205,-0.235862727,-0.235862727,-0.612766304,"M","194239_2019","No_Shoot",58
"87",1.409405653,"194239","21/02/2020","GBG","2019",52,"Farm_ 3","112",0.343168093,428,2.377777778,0,"No_Shoot",0.06983787,-0.235862727,-0.235862727,-0.612766304,"M","194239_2019","No_Shoot",58
"88",6.734296164,"BARN07","10/04/2021","GBG","2020",100,"Farm_ 3","160",1.9072133,328,1.822222222,4,"No_Shoot",1.120973789,-0.603785284,-0.603785284,0.369103981,"M","BARN07_2020","No_Shoot",81
"89",2.40764743,"194241","18/02/2021","GBG","2020",49,"Farm_ 3","109",0.878650101,328,1.822222222,1,"No_Shoot",0.004141875,-0.603785284,-0.603785284,-0.367298732,"M","194241_2020","No_Shoot",61
"90",1.516709408,"194241","19/02/2021","GBG","2020",50,"Farm_ 3","110",0.416543125,328,1.822222222,1,"No_Shoot",0.02604054,-0.603785284,-0.603785284,-0.367298732,"M","194241_2020","No_Shoot",61
"91",6.700215888,"194242","10/04/2021","GBG","2020",100,"Farm_ 3","160",1.902139748,328,1.822222222,2,"No_Shoot",1.120973789,-0.603785284,-0.603785284,-0.121831161,"M","194242_2020","No_Shoot",63
"92",4.115965986,"194242","11/04/2021","GBG","2020",101,"Farm_ 3","161",1.414873554,328,1.822222222,2,"No_Shoot",1.142872453,-0.603785284,-0.603785284,-0.121831161,"M","194242_2020","No_Shoot",63
"93",3.903914075,"194244","08/04/2021","GBG","2020",98,"Farm_ 3","158",1.361979659,328,1.822222222,5,"No_Shoot",1.077176459,-0.603785284,-0.603785284,0.614571553,"M","194244_2020","No_Shoot",67
"94",6.543336897,"BARN13","10/02/2020","GBG","2019",41,"Farm_ 4","101",1.878447264,428,2.377777778,0,"No_Shoot",-0.171047445,-0.235862727,-0.235862727,-0.612766304,"M","BARN13_2019","No_Shoot",89
"95",13.49102481,"BARN09","02/04/2020","GBG","2019",93,"Farm_ 4","153",2.602024635,428,2.377777778,7,"No_Shoot",0.967683134,-0.235862727,-0.235862727,1.105506695,"F","BARN09_2019","No_Shoot",83
"96",5.593754483,"194239","10/02/2020","GBG","2019",41,"Farm_ 4","101",1.721650705,428,2.377777778,0,"No_Shoot",-0.171047445,-0.235862727,-0.235862727,-0.612766304,"M","194239_2019","No_Shoot",58
"97",4.2238062,"16145","17/11/2019","GBG","2019",321,"Farm_ 5","16",1.440736665,428,2.377777778,2,"No_Shoot",-2.032433968,-0.235862727,-0.235862727,-0.121831161,"F","16145_2019","No_Shoot",2
"98",1.51647153,"16145","18/11/2019","GBG","2019",322,"Farm_ 5","17",0.416386274,428,2.377777778,2,"No_Shoot",-2.010535303,-0.235862727,-0.235862727,-0.121831161,"F","16145_2019","No_Shoot",2
"99",4.415720964,"194246","28/02/2021","GBG","2020",59,"Farm_ 5","119",1.48517112,328,1.822222222,1,"No_Shoot",0.223128524,-0.603785284,-0.603785284,-0.367298732,"M","194246_2020","No_Shoot",71
"100",4.11574649,"194246","01/03/2021","GBG","2020",60,"Farm_ 5","120",1.414820225,328,1.822222222,1,"No_Shoot",0.245027189,-0.603785284,-0.603785284,-0.367298732,"M","194246_2020","No_Shoot",71
"101",5.48087851,"194246","02/03/2021","GBG","2020",61,"Farm_ 5","121",1.7012654,328,1.822222222,1,"No_Shoot",0.266925854,-0.603785284,-0.603785284,-0.367298732,"M","194246_2020","No_Shoot",71
"102",2.649440824,"FAB12","09/03/2013","GWFG","2012",68,"Farm_ 5","128",0.974348608,811,4.505555556,0,"No_Shoot",0.420216509,1.173280665,1.173280665,-0.612766304,"F","FAB12_2012","No_Shoot",103
"103",10.81105542,"FAB12","10/03/2013","GWFG","2012",69,"Farm_ 5","129",2.380569261,811,4.505555556,0,"No_Shoot",0.442115174,1.173280665,1.173280665,-0.612766304,"F","FAB12_2012","No_Shoot",103
"104",4.708013379,"HAR01.1","21/11/2014","GWFG","2014",325,"Farm_ 5","20",1.549266031,1257,6.983333333,0,"No_Shoot",-1.944839309,2.814215268,2.814215268,-0.612766304,"F","HAR01.1_2014","No_Shoot",105
"105",1.276748708,"HAR01.1","22/11/2014","GWFG","2014",326,"Farm_ 5","21",0.244316775,1257,6.983333333,0,"No_Shoot",-1.922940644,2.814215268,2.814215268,-0.612766304,"F","HAR01.1_2014","No_Shoot",105
"106",2.054783836,"UCOL23","30/03/2015","GWFG","2014",89,"Farm_ 5","149",0.720170653,1257,6.983333333,0,"No_Shoot",0.880088474,2.814215268,2.814215268,-0.612766304,"M","UCOL23_2014","No_Shoot",120
"107",1.408623431,"UCOL23","01/04/2015","GWFG","2014",91,"Farm_ 5","151",0.342612937,1257,6.983333333,0,"No_Shoot",0.923885804,2.814215268,2.814215268,-0.612766304,"M","UCOL23_2014","No_Shoot",120
"108",1.990759987,"UCOL23","02/04/2015","GWFG","2014",92,"Farm_ 5","152",0.688516469,1257,6.983333333,0,"No_Shoot",0.945784469,2.814215268,2.814215268,-0.612766304,"M","UCOL23_2014","No_Shoot",120
"109",3.372987945,"UCOL24","27/03/2015","GWFG","2014",86,"Farm_ 5","146",1.215798982,1257,6.983333333,1,"Shoot",0.814392479,2.814215268,2.814215268,-0.367298732,"F","UCOL24_2014","Shoot",121
"110",3.224405055,"UCOL24","30/03/2015","GWFG","2014",89,"Farm_ 5","149",1.170748454,1257,6.983333333,1,"No_Shoot",0.880088474,2.814215268,2.814215268,-0.367298732,"F","UCOL24_2014","No_Shoot",121
"111",0.755862887,"BLO28","02/12/2014","GWFG","2014",336,"Farm_ 5","31",-0.279895285,1257,6.983333333,1,"No_Shoot",-1.703953994,2.814215268,2.814215268,-0.367298732,"F","BLO28_2014","No_Shoot",99
"112",1.458155965,"BLO28","07/02/2015","GWFG","2014",38,"Farm_ 5","98",0.377172599,1257,6.983333333,2,"No_Shoot",-0.23674344,2.814215268,2.814215268,-0.121831161,"F","BLO28_2014","No_Shoot",99
"113",0.739570098,"BLO28","08/02/2015","GWFG","2014",39,"Farm_ 5","99",-0.30168621,1257,6.983333333,2,"No_Shoot",-0.214844775,2.814215268,2.814215268,-0.121831161,"F","BLO28_2014","No_Shoot",99
"114",2.843268901,"BLO28","09/02/2015","GWFG","2014",40,"Farm_ 5","100",1.044954412,1257,6.983333333,2,"No_Shoot",-0.19294611,2.814215268,2.814215268,-0.121831161,"F","BLO28_2014","No_Shoot",99
"115",0.495627344,"BLO28","11/02/2015","GWFG","2014",42,"Farm_ 5","102",-0.701930958,1257,6.983333333,2,"No_Shoot",-0.14914878,2.814215268,2.814215268,-0.121831161,"F","BLO28_2014","No_Shoot",99
"116",0.433757644,"BLO28","12/02/2015","GWFG","2014",43,"Farm_ 5","103",-0.835269325,1257,6.983333333,2,"No_Shoot",-0.127250115,2.814215268,2.814215268,-0.121831161,"F","BLO28_2014","No_Shoot",99
"117",0.722629577,"BLO28","13/02/2015","GWFG","2014",44,"Farm_ 5","104",-0.32485853,1257,6.983333333,2,"No_Shoot",-0.10535145,2.814215268,2.814215268,-0.121831161,"F","BLO28_2014","No_Shoot",99
"118",6.363603736,"BLO28","15/02/2015","GWFG","2014",46,"Farm_ 5","106",1.850594842,1257,6.983333333,3,"No_Shoot",-0.06155412,2.814215268,2.814215268,0.12363641,"F","BLO28_2014","No_Shoot",99
"119",1.608063413,"BLO28","20/02/2015","GWFG","2014",51,"Farm_ 5","111",0.475030606,1257,6.983333333,3,"No_Shoot",0.047939205,2.814215268,2.814215268,0.12363641,"F","BLO28_2014","No_Shoot",99
"120",3.34145188,"BLO28","03/03/2015","GWFG","2014",62,"Farm_ 5","122",1.206405407,1257,6.983333333,3,"No_Shoot",0.288824519,2.814215268,2.814215268,0.12363641,"F","BLO28_2014","No_Shoot",99
"121",0.999050773,"BLO28","04/03/2015","GWFG","2014",63,"Farm_ 5","123",-0.000949678,1257,6.983333333,3,"No_Shoot",0.310723184,2.814215268,2.814215268,0.12363641,"F","BLO28_2014","No_Shoot",99
