"","Device_ID","Winter","PP_Shoot","Habitat","case_","ceh_broad","Case","weight","Used","weight2","gwf_dist_points"
"6243","171211",2018,"post","11",FALSE,"bog",0,1,"Avail",1,1436.91263622967
"6244","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,2019.8156628598
"6245","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,329.042257215177
"6246","171211",2018,"post","11",FALSE,"bog",0,1,"Avail",1,2298.23303643923
"6247","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,3973.96134631296
"6248","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,1652.96961917208
"6249","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,1323.29870187707
"6250","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,1369.88621820758
"6251","171211",2018,"post","3",FALSE,"arable_hort",0,1,"Avail",1,49.4253583936629
"6252","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,415.903262351954
"6253","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,1470.14322188907
"6254","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,780.833651125116
"6255","171211",2018,"post","11",FALSE,"bog",0,1,"Avail",1,121.397386188586
"6256","171211",2018,"post","11",FALSE,"bog",0,1,"Avail",1,1087.83289014951
"6257","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,235.830264184871
"6258","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,1406.41696008355
"6259","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,1828.69812822439
"6260","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,623.589841920441
"6261","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,607.372357892565
"6262","171211",2018,"post","2",FALSE,"other",0,1,"Avail",1,162.072727286855
"6263","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,3327.46446508642
"6264","171211",2018,"post","11",FALSE,"bog",0,1,"Avail",1,784.084445614867
"6265","171211",2018,"post","11",FALSE,"bog",0,1,"Avail",1,242.831629923889
"6266","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,601.102167254798
"6267","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,1143.82584367158
"6268","171211",2018,"post","18",FALSE,"saltmarsh_coastal",0,1,"Avail",1,180.14409828864
"6269","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,491.245836681903
"6270","171211",2018,"post","11",FALSE,"bog",0,1,"Avail",1,1602.22677009806
"6271","171211",2018,"post","2",FALSE,"other",0,1,"Avail",1,931.331562476272
"6272","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,85.0296250333163
"6273","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,669.476434873762
"6274","171211",2018,"post","11",FALSE,"bog",0,1,"Avail",1,1045.5515420166
