"","bird_trips","birdID","totaldist","daydist","Device_ID","UTC_Date","Species","Month","Year","Winter","Disturbance","Total_fixes","year_day","fix_gps","Raw_Farm_Name","Shoot_field","mode_hld_farm","shoot_date","totaldist_log","events_total","shoot_freq","indiv_dist","Disturbance2","shoot_date_sc","events_total_sc","shoot_freq_sc","indiv_dist_sc","Sex","Tag_Winter","Disturbance_shoot"
"25","BARN13_15/02/2020","BARN13",3.2753086310143,NA,"BARN13",2020-02-15,"GBG",2,2020,"2019",0,11,46,NA,NA,"No","COULL1",106,1.1864121031247,428,2.37777777777778,0,"No_Shoot",-0.0615541203420031,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"26","BARN13_16/02/2020","BARN13",3.87781660560916,NA,"BARN13",2020-02-16,"GBG",2,2020,"2019",0,11,47,NA,NA,"No","ROCKSIDE FARM",107,1.35527226472984,428,2.37777777777778,0,"No_Shoot",-0.0396554553632266,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"27","BARN13_17/02/2020","BARN13",5.89306930918977,NA,"BARN13",2020-02-17,"GBG",2,2020,"2019",0,10,48,NA,NA,"No","CRAIGENS & CORSAPOL",108,1.77377696706097,428,2.37777777777778,0,"No_Shoot",-0.0177567903844501,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"28","BARN13_18/02/2020","BARN13",3.45061453296466,NA,"BARN13",2020-02-18,"GBG",2,2020,"2019",0,10,49,NA,NA,"No","SI.AORADH",109,1.23855234067781,428,2.37777777777778,0,"No_Shoot",0.00414187459432639,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"29","BARN13_19/02/2020","BARN13",3.61614001133859,NA,"BARN13",2020-02-19,"GBG",2,2020,"2019",0,10,50,NA,NA,"No","CRAIGENS & CORSAPOL",110,1.28540716173016,428,2.37777777777778,0,"No_Shoot",0.0260405395731029,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"30","BARN13_20/02/2020","BARN13",5.81571574879476,NA,"BARN13",2020-02-20,"GBG",2,2020,"2019",0,10,51,NA,NA,"No","ARDNAVE, KILNAVE & GARREALLABUS",111,1.76056386503319,428,2.37777777777778,0,"No_Shoot",0.0479392045518794,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"31","BARN13_21/02/2020","BARN13",2.17451024553157,NA,"BARN13",2020-02-21,"GBG",2,2020,"2019",0,10,52,NA,NA,"No","ARDNAVE, KILNAVE & GARREALLABUS",112,0.776803464716828,428,2.37777777777778,0,"No_Shoot",0.0698378695306559,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"32","BARN13_22/02/2020","BARN13",4.04622240036186,NA,"BARN13",2020-02-22,"GBG",2,2020,"2019",0,10,53,NA,NA,"No","CRAIGENS & CORSAPOL",113,1.39778370519381,428,2.37777777777778,0,"No_Shoot",0.0917365345094324,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"33","BARN13_23/02/2020","BARN13",2.82627427391096,NA,"BARN13",2020-02-23,"GBG",2,2020,"2019",0,11,54,NA,NA,"No","CRAIGENS & CORSAPOL",114,1.03895933330769,428,2.37777777777778,0,"No_Shoot",0.113635199488209,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"34","BARN13_24/02/2020","BARN13",2.38687164029477,NA,"BARN13",2020-02-24,"GBG",2,2020,"2019",0,11,55,NA,NA,"No","CRAIGENS & CORSAPOL",115,0.8699835714218,428,2.37777777777778,0,"No_Shoot",0.135533864466985,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
