"","Date_ID","spatial_overlap","Raw_Farm_Name","FIELD_ID","fix_gps","Shoot_ID1","Shoot_ID2","Shoot_ID1_time","Shoot_ID2_time","Shoot_ID1_shots","Shoot_ID2_shots","Shoot_field"
"107","194248_10/11/2020",1,"craigens","CP51","AO31",432,NA,2020-11-10 10:05:00,NA,1,NA,"No"
"108","BARN11_12/11/2020",1,"craigens","CP57","CP58",442,NA,2020-11-12 12:35:00,NA,2,NA,"No"
"109","BARN11_12/11/2020",1,"craigens","CP57","AO82",442,NA,2020-11-12 12:35:00,NA,2,NA,"No"
"110","BARN07_13/11/2020",1,"craigens","CP51","AO31",445,NA,2020-11-13 16:00:00,NA,1,NA,"No"
"111","194242_13/11/2020",1,"craigens","CP51","CP2",445,NA,2020-11-13 16:00:00,NA,1,NA,"No"
"112","194245_13/11/2020",1,"craigens","CP51","CP2",445,NA,2020-11-13 16:00:00,NA,1,NA,"No"
"113","194244_13/11/2020",1,"craigens","CP51","CP2",445,NA,2020-11-13 16:00:00,NA,1,NA,"No"
"114","194246_13/11/2020",1,"craigens","CP51","CP57",445,NA,2020-11-13 16:00:00,NA,1,NA,"No"
"115","194247_13/11/2020",1,"craigens","CP51","CP56",445,NA,2020-11-13 16:00:00,NA,1,NA,"No"
"116","194248_13/11/2020",1,"craigens","CP51","CP57",445,NA,2020-11-13 16:00:00,NA,1,NA,"No"
"117","194247_13/11/2020",1,"craigens","CP51","AO27",445,NA,2020-11-13 16:00:00,NA,1,NA,"No"
"118","194245_13/11/2020",1,"craigens","CP51","AO32",445,NA,2020-11-13 16:00:00,NA,1,NA,"No"
"119","194244_13/11/2020",1,"craigens","CP51","AO32",445,NA,2020-11-13 16:00:00,NA,1,NA,"No"
"120","194244_13/11/2020",1,"craigens","CP51","AO38",445,NA,2020-11-13 16:00:00,NA,1,NA,"No"
"121","194245_13/11/2020",1,"craigens","CP51","AO38",445,NA,2020-11-13 16:00:00,NA,1,NA,"No"
"122","194249_14/11/2020",1,"home farm","OV2","OV2",447,NA,2020-11-14 11:15:00,NA,1,NA,"Yes"
"123","194248_16/11/2020",1,"craigens","CP56","AO31",454,NA,2020-11-16 15:40:00,NA,1,NA,"No"
"124","194247_30/11/2020",1,"ronnachmore","RM16","RM19",481,NA,2020-11-30 12:05:00,NA,3,NA,"No"
"125","194242_04/12/2020",1,"blackrock","US2","US2",491,NA,2020-12-04 14:55:00,NA,15,NA,"Yes"
"126","194246_09/12/2020",1,"eorrabus","EO3","EO27",500,NA,2020-12-09 11:35:00,NA,1,NA,"No"
"127","194246_19/12/2020",1,"eorrabus","EO3","EO4",522,523,2020-12-19 14:30:00,2020-12-19 15:20:00,14,10,"No"
"128","BARN07_22/12/2020",1,"carrabus","MC4","MC4",530,NA,2020-12-22 12:20:00,NA,1,NA,"Yes"
"129","BARN07_07/01/2021",1,"craigens","CP7","CP42",551,NA,2021-01-07 12:00:00,NA,1,NA,"No"
"130","194244_09/01/2021",1,"carrabus","MC7","MC3",558,NA,2021-01-09 11:30:00,NA,1,NA,"No"
"131","194245_09/01/2021",1,"lyrabus","LY30","LY18",559,NA,2021-01-09 12:00:00,NA,6,NA,"No"
"132","194247_15/01/2021",1,"ronnachmore","RM16","RM21",570,NA,2021-01-15 13:45:00,NA,1,NA,"No"
